
 --ALL-- 
uint	DoP	DoLP	AoP	ellipticity	intensity	opponentsignal
216	0.0912	0.0884	178.648	0.0222	91356.131484	0.1448	
220	0.0559	0.0510	176.223	0.0229	91291.272814	0.0828	
224	0.0276	0.0169	158.979	0.0218	91202.104317	0.0206	
228	0.0375	0.0249	108.412	0.0281	91156.443829	-0.0326	
232	0.0748	0.0723	95.851	0.0193	91082.803571	-0.1160	
236	0.1203	0.1192	94.291	0.0162	91334.338364	-0.1934	
240	0.1767	0.1751	93.615	0.0234	91546.606233	-0.2862	
244	0.2053	0.2045	94.534	0.0173	91111.179649	-0.3336	
248	0.2053	0.2045	93.923	0.0186	91286.063319	-0.3345	
252	0.2093	0.2087	93.773	0.0157	91186.689943	-0.3419	
